FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,MEAN_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
352000,1473,47.0,1295071.8062808048,4.190155020255771,309074.91489361704,1420.957446808511,13100.0,8.02127659574468,67.0,87.7872340425532,943.0,159.3404255319149,2379.0,0.8780537354932303,0.0431919393343349,0.0003171017143834,0.0010521647671652,0.0016679221286502,1.8920463466183572,0.4065934065934066,3.615384615384616,27.5014230866914,78.6
28500,345,76.0,213474.5169576112,4.032168569157859,52942.85526315789,3108.8289473684213,99100.0,68.65789473684211,1709.0,1284.2631578947369,58200.0,120.27631578947368,3052.0,1.8576440443213296,0.0667822623441263,0.0019638284015356,0.0040293972575376,0.0023396380138145,1.1871270061728394,0.5604395604395604,5.846153846153846,32.11009288255924,80.8
1500000,471,37.0,1670870.2604563152,1.3760511829386215,1214250.0810810812,16549.64864864865,96700.0,145.1891891891892,1861.0,1533.3783783783783,23600.0,919.6486486486486,6902.0,0.8095000540540541,0.0182211676626384,0.0002033808631307,0.0008347968442478,0.0011368900138216,2.3504710005144034,0.3626373626373626,2.8461538461538463,5.435453620985883,89.9
175100,1694,29.0,132548.11591689347,2.165279641607802,61215.24137931035,1369.896551724138,13200.0,51.75862068965517,562.0,331.2758620689655,5615.0,300.13793103448273,2776.0,0.3496016069635085,0.0277927144904366,0.0008269499700858,0.0027624888939314,0.0071784281717172,2.9651136739418,0.2747252747252747,2.230769230769231,9.636488996835666,75.1
260100,354,28.0,68127.96578661528,0.5083228187734151,134025.0,1751.642857142857,6072.0,38.57142857142857,60.0,184.25,2505.0,489.8571428571428,2268.0,0.515282583621684,0.0168192962887476,0.0003486305299963,0.0016346945188489,0.0043703763535062,3.154088220164609,0.2527472527472527,2.1538461538461537,2.5495243424543963,83.9
177000,12,11.0,26517.402773547517,1.500331401889326,17674.363636363636,234.1818181818182,854.0,6.727272727272728,12.0,2.909090909090909,11.0,9.545454545454543,39.0,0.0998551617873651,0.0170601914007375,0.0011992998389143,0.0005952556015287,0.0007517599921861,0.3942523148148148,0.0549450549450549,0.8461538461538461,4.961989115953348,77.2
8966,126,89.0,442733.05639657326,1.2852641267668687,344468.5393258427,18244.494382022476,181900.0,76.11235955056179,525.0,1886.0449438202247,18800.0,539.1910112359551,6540.0,38.41942218668778,0.0480511785400484,0.000285034530489,0.0050301873543688,0.0014907356707672,0.9697662826178453,0.4285714285714285,6.846153846153846,7.547859102259081,
149200,26,4.0,425256.1446417716,1.1851079704586642,358833.25,1498.25,3682.0,59.5,213.0,49.25,177.0,91.0,200.0,2.4050485924932974,0.0169971283702813,0.0003402702634201,6.789438496512156e-05,0.0002928395323074,11.945906635802467,0.0439560439560439,0.3076923076923077,2.7001399675122078,77.6
89700,611,38.0,140129.7342655015,1.6964318398243303,82602.63157894737,4192.1578947368425,24800.0,30.26315789473684,224.0,186.68421052631575,1448.0,398.9736842105263,2424.0,0.9208766062312972,0.054403601175023,0.0005427897902516,0.002423645780648,0.0050970837707299,2.2166651026026027,0.3626373626373626,2.923076923076923,8.256395552482163,75.2
38700,35,35.0,239737.8670760801,2.683564749924962,89335.6,4721.057142857143,69800.0,190.82857142857145,2424.0,306.8285714285714,4955.0,294.22857142857146,4268.0,2.3084134366925064,0.0398165234730714,0.0026252253740522,0.0028622936749773,0.0031053348824581,1.8304279003267971,0.2967032967032967,2.6923076923076925,14.551869579265691,75.8
93700,964,11.0,295353.443736945,0.9640902938056884,306354.54545454547,5720.181818181818,17500.0,38.72727272727273,102.0,85.81818181818181,339.0,480.8181818181818,1329.0,3.2695255651498982,0.0186076187339801,0.0001777687283619,0.0002520030364756,0.0016573991062141,0.7,0.0879120879120879,0.8461538461538461,3.2641918157702285,75.7
26100,114,29.0,182827.4074722379,1.5424002869094742,118534.3448275862,2204.1724137931037,13500.0,91.72413793103448,531.0,266.17241379310343,1953.0,175.3793103448276,1073.0,4.54154577883472,0.0198265912673222,0.0008195371148803,0.0024635659752977,0.001759486250382,2.2236722883597886,0.2967032967032967,2.230769230769231,7.278059378044058,73.6
59900,641,153.0,201931.86794117096,3.464104140104076,58292.66666666666,1253.4313725490197,35900.0,53.431372549019606,1642.0,2201.7124183006536,171800.0,84.65359477124183,2310.0,0.9731663884251532,0.0244307187600821,0.0018013875029045,0.0082100364761641,0.0015808266355059,0.5784034630847954,0.8791208791208791,11.76923076923077,29.16318805059819,81.4
862500,791,7.0,31327.347284836644,1.589148949459266,19713.285714285717,633.1428571428571,2147.0,7.571428571428571,26.0,5.571428571428571,28.0,16.285714285714285,59.0,0.022855983436853,0.049716671211237,0.0007879892554143,0.0001478618321392,0.0013152236292144,9.133360339506172,0.0769230769230769,0.5384615384615384,4.43355822374298,73.3
