"CREATOR_ID","FOLLOWERS","FOLLOWING_COUNT","ENGAGEMENT","TOTAL_LIKES","DIGG_COUNT","VIDEO_COUNT","COLLAB_SCORE","HAS_BROADCAST_SCORE","PRICE_NUM","grp_ENTERTAINMENT","grp_LIFESTYLE","grp_FOOD","grp_BEAUTY","grp_FASHION","grp_GAMING","grp_TECH","grp_COMMERCE","grp_EDUCATION","grp_NEWS","grp_PETS_NATURE","grp_SPORTS","grp_TRAVEL","grp_FAMILY_KIDS","grp_HOME_DIY","grp_UNKNOWN","CATEGORY_GROUP_COUNT"
"dungconshop2",11.2398166843679,5.78074351579233,6.29,14.4032977784218,9.84166533889278,5.71042701737487,77.5,"1",14.0623714171455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"nhacssuy102",12.6234696183058,3.55534806148941,4,15.7324333172051,11.1760671538318,8.27969713387763,72.2,"0",11.9829353441964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"caothuonq_06",10.7789771230064,2.30258509299405,4.76,15.0964446812041,5.75890177387728,7.31721240835984,92.8,"1",13.1223653774023,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"dede.less",10.0033781353509,1.6094379124341,9.76,13.0493646359805,6.55535689181067,4.30406509320417,81.9,"1",13.8155115579638,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"honh.lee",10.534785924769,4.70953020131233,4.18,13.5872300852324,9.08952775175944,1.94591014905531,74.4,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"_mighiet",11.3736748918235,5.09375020080676,13.66,14.3461393972616,6.08449941307517,3.61091791264422,71,"0",13.3046866008636,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"chill20039",10.0301642553626,4.11087386417331,3.99,13.1033864491249,7.454719949364,5.03043792139244,75.5,"0",12.4292201968364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fan_rondarousey27",10.8723897096815,4.60517018598809,5.52,13.8155115579638,9.11460009969535,3.68887945411394,78.6,"1",9.34145634983372,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"aysabivi138",11.0682152434111,5.06259503302697,4.11,13.7537425952827,11.0666539872197,4.65396035015752,75.3,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"film_xua88",10.5966597327836,5.54907608489522,2.05,12.196027360169,2.30258509299405,4.36944785246702,76.8,"0",14.5086582385241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"maimoimong1106",12.2567705126861,3.13549421592915,1.98,13.3143068282837,6.34212141872115,4.55387689160054,75.1,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ditucogivui",12.2351507497307,2.07944154167984,4.26,14.946912992036,5.11198778835654,5.24174701505964,70.4,"0",12.2060776455177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"chang.anh.xu.x",10.8454655241463,4.07753744390572,4.53,12.361369810749,4.4188406077966,4.0943445622221,79.9,"1",12.4292201968364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"theaura.ent",12.2596181517835,2.99573227355399,1.66,17.1583723979492,6.27852142416584,8.10016144693661,78.6,"0",14.2209763327389,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"simontu89",13.1959873753186,6.52649485957079,2.02,16.7807836755799,8.88571765171212,9.16030943837062,73.6,"0",13.1223653774023,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"douyinchina132",11.2319011801825,1.09861228866811,2.3,14.6909797119848,5.37989735354046,4.31748811353631,79.6,"1",9.34145634983372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"duminhtruong1999",11.4042371962568,7.49997654095212,5.75,14.5086582385241,7.90948949267376,5.06890420222023,73.2,"0",11.5129354649202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ljl.ddawg_msic",9.36742958721896,5.07517381523383,12.09,13.7865975771352,10.3766424612808,3.76120011569356,74.7,"0",12.6115410869661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"julynoine",11.256754979391,4.66343909411207,8.53,12.9983884615621,5.93224518744801,5.16478597392351,77.8,"0",13.1223653774023,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"maikute1992",12.7599606323157,8.65538869016764,13.23,15.4832175672016,11.033291613631,8.90245559220688,76.3,"0",12.3013873707787,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"nguoididemm",10.1735528569597,0,7.16,13.6757897647425,4.75359019110636,3.46573590279973,75.3,"0",15.4249486703984,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"nytran089",12.8599617122374,0.693147180559945,1.13,17.0888746059953,7.34148385236316,7.90396563403217,77.8,"1",17.058493497223,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"socsobay22229",13.5323529015554,2.39789527279837,3.37,15.9555768391076,8.79224584746788,2.19722457733622,70.9,"0",15.0682738121739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"china.boys3",14.2209763327389,0.693147180559945,9.81,17.6376088777463,5.26785815906333,8.45041215772589,80,"1",16.1180957509583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"timnguyen192",13.3788658798798,7.62851762657506,0.64,16.231424425551,8.68626063253178,8.82128980513611,86.5,"0",14.7318016898383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"tt_trinh96",12.041203898549,7.25841215059531,5.57,15.5733686479304,10.4282456668323,7.99598047476376,78.8,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
